City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
1,Alyangula,AU,84.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
2,Port Elizabeth,ZA,73.69,few clouds,-33.918,25.5701,39 On Nile Guest House
3,Souillac,MU,80.98,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Vaini,TO,80.87,light rain,-21.2,-175.2,Keleti Beach Resort
6,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
7,East London,ZA,72.54,scattered clouds,-33.0153,27.9116,Tu Casa
9,Busselton,AU,73.04,overcast clouds,-33.65,115.3333,Observatory Guest House
10,San Quintin,MX,53.31,clear sky,30.4833,-115.95,Don Eddie's Landing
12,Rikitea,PF,77.36,light rain,-23.1203,-134.9692,People ThankYou
13,Hermanus,ZA,70.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Cape Town,ZA,74.26,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Sao Filipe,CV,76.14,clear sky,14.8961,-24.4956,Hotel Xaguate
18,Hobart,AU,52.05,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,New Norfolk,AU,51.71,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
20,Dickinson,US,42.98,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
21,Reforma,MX,77.76,few clouds,18.1,-91.0167,
28,Redcliffe,AU,70.99,clear sky,-27.2307,153.0973,Redvue Apartments
29,Laguna,US,45.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
30,Saint-Philippe,RE,79.11,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Ushuaia,AR,46.02,overcast clouds,-54.8,-68.3,Albatross Hotel
32,Mataura,NZ,53.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
34,Punta Arenas,CL,48.31,overcast clouds,-53.15,-70.9167,Hotel Hain
36,Bredasdorp,ZA,74.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
37,Karratha,AU,83.21,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
38,Ponta Do Sol,PT,71.01,overcast clouds,32.6667,-17.1,Hotel do Campo
39,Mar Del Plata,AR,75.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Samarai,PG,80.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
41,Khammam,IN,74.1,broken clouds,17.25,80.15,Hotel Vishnu Residency
43,Lasa,IT,49.91,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
