,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
0,Cidreira,BR,-30.1811,-50.2056,73.83,81,67,18.45,broken clouds
1,Mosina,PL,52.2454,16.8471,31.33,86,0,4.61,clear sky
2,Misasi,TZ,-3.0,33.0833,62.96,96,100,4.43,overcast clouds
3,Caravelas,BR,-17.7125,-39.2481,76.5,83,100,3.6,overcast clouds
4,Havelock,US,34.8791,-76.9013,58.95,72,100,5.75,overcast clouds
5,Kondagaon,IN,19.6,81.6667,64.87,25,33,2.46,scattered clouds
6,Iqaluit,CA,63.7506,-68.5145,-20.47,76,100,8.05,light snow
7,Benghazi,LY,32.1167,20.0667,55.15,70,5,3.09,clear sky
8,Mahebourg,MU,-20.4081,57.7,79.09,89,40,10.36,scattered clouds
9,Chuy,UY,-33.6971,-53.4616,66.56,92,100,11.48,overcast clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,74.73,84,36,4.43,scattered clouds
11,Paita,PE,-5.0892,-81.1144,72.82,80,99,8.72,overcast clouds
12,Montijo,PT,38.7067,-8.9739,52.57,93,40,2.3,scattered clouds
13,Xuddur,SO,4.1213,43.8894,65.82,77,95,10.42,overcast clouds
14,Torbay,CA,47.6666,-52.7314,47.17,73,75,26.46,broken clouds
15,Sorland,NO,67.667,12.6934,31.96,86,100,5.61,light snow
16,Mar Del Plata,AR,-38.0023,-57.5575,62.87,73,20,7.0,few clouds
17,Ribeira Grande,PT,38.5167,-28.7,61.65,95,100,14.0,overcast clouds
18,Balkhash,KZ,46.844,74.9804,21.81,93,75,8.95,broken clouds
19,Chicama,PE,-7.8447,-79.1469,68.54,71,86,5.32,overcast clouds
20,Trabzon,TR,40.9167,39.8333,39.29,61,0,3.44,clear sky
21,Korla,CN,41.7597,86.1469,31.28,40,62,4.52,broken clouds
22,Port Elizabeth,ZA,-33.918,25.5701,71.89,83,75,16.11,broken clouds
23,Bereda,ES,43.2686,-7.5406,47.95,100,79,4.74,broken clouds
24,Thompson,CA,55.7435,-97.8558,-16.44,69,0,3.44,clear sky
25,Saint-Philippe,RE,-21.3585,55.7679,78.35,81,3,9.62,light rain
26,Quarai,BR,-30.3875,-56.4514,68.49,72,99,12.44,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,67.8,80,65,3.91,broken clouds
28,Semey,KZ,50.4111,80.2275,16.02,73,75,13.42,broken clouds
29,Chateaudun,FR,48.0833,1.3333,31.95,77,30,8.46,scattered clouds
30,Yarmouth,US,41.7057,-70.2286,46.51,72,0,4.61,clear sky
31,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,29.93,snow
32,Busselton,AU,-33.65,115.3333,76.08,40,0,6.06,clear sky
33,Luderitz,NA,-26.6481,15.1594,70.36,72,3,13.15,clear sky
34,Save,BJ,8.0425,2.486,80.22,70,9,7.05,clear sky
35,Dingle,PH,10.9995,122.6711,84.96,65,97,12.62,overcast clouds
36,Bengkulu,ID,-3.8004,102.2655,83.62,66,89,2.86,overcast clouds
37,San Pedro,PH,14.35,121.0167,85.35,71,75,10.36,broken clouds
38,Adre,TD,13.4667,22.2,63.41,16,14,12.55,few clouds
39,Hagere Hiywet,ET,8.9833,37.85,56.91,64,32,3.94,scattered clouds
40,Puquio,PE,-14.7,-74.1333,49.59,84,100,3.04,overcast clouds
41,Muisne,EC,0.6,-80.0333,76.05,86,100,2.98,overcast clouds
42,Ancud,CL,-41.8697,-73.8203,60.42,92,34,0.81,scattered clouds
43,Abu Dhabi,AE,24.4667,54.3667,68.11,75,75,12.66,broken clouds
44,Ushuaia,AR,-54.8,-68.3,46.06,66,75,9.22,broken clouds
45,General Roca,AR,-39.0333,-67.5833,77.4,16,88,14.81,overcast clouds
46,Atar,MR,20.5169,-13.0499,63.73,27,68,7.31,broken clouds
47,Georgetown,MY,5.4112,100.3354,85.93,72,20,5.99,few clouds
48,Port Alfred,ZA,-33.5906,26.891,76.59,94,98,11.79,overcast clouds
49,Albany,US,42.6001,-73.9662,30.85,67,97,3.0,overcast clouds
50,Stykkisholmur,IS,65.0757,-22.7297,17.83,77,14,6.67,few clouds
51,Sao Filipe,CV,14.8961,-24.4956,77.09,49,100,19.28,overcast clouds
52,Margate,GB,51.3813,1.3862,45.3,80,100,11.01,overcast clouds
53,Nelidovo,RU,56.2211,32.7774,28.76,86,99,11.41,overcast clouds
54,Ponta Do Sol,PT,32.6667,-17.1,63.23,69,7,4.99,clear sky
55,Radyvyliv,UA,50.1299,25.2558,28.22,79,14,7.47,few clouds
56,Cape Town,ZA,-33.9258,18.4232,69.1,78,0,12.66,clear sky
57,Nador,MA,35.174,-2.9287,48.45,87,0,3.44,clear sky
58,Jaisalmer,IN,26.9147,70.9181,63.12,26,0,9.75,clear sky
59,East London,ZA,-33.0153,27.9116,75.27,88,25,15.7,scattered clouds
60,San Luis,AR,-33.295,-66.3356,58.96,38,0,8.86,clear sky
61,Bredasdorp,ZA,-34.5322,20.0403,67.32,83,68,2.3,broken clouds
62,Ekibastuz,KZ,51.6667,75.3667,18.23,88,93,14.61,light snow
63,Husavik,IS,66.0449,-17.3389,19.31,90,29,12.08,scattered clouds
64,Ostrovnoy,RU,68.0531,39.5131,14.81,96,93,3.71,overcast clouds
65,Pocone,BR,-16.2567,-56.6228,74.77,92,98,2.93,overcast clouds
66,Lebu,CL,-37.6167,-73.65,57.72,91,99,7.83,overcast clouds
67,Camana,PE,-16.6228,-72.7111,72.03,78,100,4.72,overcast clouds
68,Bilma,NE,18.6853,12.9164,59.79,19,0,7.9,clear sky
69,Bolzano,IT,46.4927,11.3336,38.95,51,25,3.06,scattered clouds
70,Copiapo,CL,-27.3667,-70.3333,67.24,66,0,1.97,clear sky
71,Saldanha,ZA,-33.0117,17.9442,64.45,90,69,13.96,broken clouds
72,Longyearbyen,SJ,78.2186,15.6401,12.04,79,0,9.22,clear sky
73,Kavaratti,IN,10.5669,72.642,80.89,69,4,6.6,clear sky
74,Santomera,ES,38.0615,-1.0488,51.24,88,41,1.99,scattered clouds
75,Lomintsevskiy,RU,53.9855,37.6647,16.99,95,88,12.03,overcast clouds
76,Olafsvik,IS,64.8945,-23.7142,26.28,70,44,17.18,scattered clouds
