City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Petropavlovsk-Kamchatskiy,RU,2022-02-01 17:43:52,53.0452,158.6483,27.19,80,90,17.9
1,Neryungri,RU,2022-02-01 17:43:52,56.6709,124.6491,-11.69,95,100,8.37
2,Albany,US,2022-02-01 17:43:53,42.6001,-73.9662,35.8,48,10,4.0
3,Maragogi,BR,2022-02-01 17:43:53,-9.0122,-35.2225,84.22,64,8,9.24
4,Hilo,US,2022-02-01 17:40:30,19.7297,-155.09,67.24,94,100,4.61
5,Salta,AR,2022-02-01 17:42:33,-24.7859,-65.4117,81.57,50,40,5.01
6,Torbay,CA,2022-02-01 17:43:54,47.6666,-52.7314,28.58,54,40,23.02
7,Cape Town,ZA,2022-02-01 17:43:54,-33.9258,18.4232,76.87,63,0,3.0
8,Cidreira,BR,2022-02-01 17:43:55,-30.1811,-50.2056,75.78,64,82,9.84
9,Saskylakh,RU,2022-02-01 17:43:55,71.9167,114.0833,-28.23,100,60,1.41
10,Nome,US,2022-02-01 17:43:55,64.5011,-165.4064,24.87,46,0,21.85
11,Hermanus,ZA,2022-02-01 17:43:56,-34.4187,19.2345,72.9,84,3,2.57
12,Vaini,TO,2022-02-01 17:43:56,-21.2,-175.2,75.36,83,20,3.44
13,Rikitea,PF,2022-02-01 17:43:57,-23.1203,-134.9692,77.97,68,46,7.87
14,Ushuaia,AR,2022-02-01 17:43:57,-54.8,-68.3,47.82,87,75,34.52
15,Punta Arenas,CL,2022-02-01 17:43:58,-53.15,-70.9167,51.82,66,75,35.68
16,Pozo Colorado,PY,2022-02-01 17:43:58,-23.4923,-58.7972,108.9,13,1,3.56
17,Souillac,MU,2022-02-01 17:41:03,-20.5167,57.5167,80.98,89,75,21.85
18,Hamilton,US,2022-02-01 17:43:58,39.1834,-84.5333,54.63,47,0,4.0
19,Jamestown,US,2022-02-01 17:42:59,42.097,-79.2353,39.29,37,0,13.8
20,Mataura,NZ,2022-02-01 17:43:59,-46.1927,168.8643,62.47,72,61,4.05
21,Sao Joao Da Barra,BR,2022-02-01 17:43:59,-21.6403,-41.0511,93.29,82,100,6.17
22,Ilhabela,BR,2022-02-01 17:44:00,-23.7781,-45.3581,79.43,83,84,5.5
23,Laguna,US,2022-02-01 17:44:00,38.421,-121.4238,55.22,42,1,7.0
24,Bredasdorp,ZA,2022-02-01 17:44:00,-34.5322,20.0403,72.28,66,3,5.3
25,Westport,US,2022-02-01 17:44:01,41.1415,-73.3579,37.81,61,0,1.01
26,Kapaa,US,2022-02-01 17:44:01,22.0752,-159.319,64.72,94,40,6.91
27,Bluff,NZ,2022-02-01 17:44:02,-46.6,168.3333,62.8,84,70,9.46
28,Syriam,MM,2022-02-01 17:44:02,16.7722,96.2378,75.31,83,50,4.61
29,Chokurdakh,RU,2022-02-01 17:44:03,70.6333,147.9167,-20.76,98,100,1.41
30,Sibolga,ID,2022-02-01 17:44:03,1.7427,98.7792,74.68,96,100,2.55
31,Kieta,PG,2022-02-01 17:44:04,-6.2167,155.6333,79.18,87,100,4.32
32,Aswan,EG,2022-02-01 17:44:04,24.0934,32.907,65.5,29,0,5.75
33,Nemuro,JP,2022-02-01 17:44:05,43.3236,145.575,23.95,71,16,16.8
34,Barrow,US,2022-02-01 17:41:04,71.2906,-156.7887,-16.58,83,90,0.0
35,Puerto Ayora,EC,2022-02-01 17:44:05,-0.7393,-90.3518,82.36,85,84,5.01
36,Ratnagiri,IN,2022-02-01 17:44:06,16.9833,73.3,73.44,65,3,7.31
37,Jining,CN,2022-02-01 17:41:08,35.405,116.5814,37.0,1,100,2.73
38,Cooma,AU,2022-02-01 17:44:06,-36.2333,149.1333,53.37,93,100,14.97
39,Hobart,AU,2022-02-01 17:44:07,-42.8794,147.3294,51.66,59,45,5.99
40,Arraial Do Cabo,BR,2022-02-01 17:44:07,-22.9661,-42.0278,85.96,70,40,12.66
41,Baykit,RU,2022-02-01 17:44:08,61.67,96.37,-9.94,100,92,0.92
42,San Isidro,PE,2022-02-01 17:44:08,-12.1167,-77.05,79.5,82,0,1.99
43,Kalianget,ID,2022-02-01 17:44:08,-7.05,113.9333,78.31,86,94,7.56
